Reads	Reads	Total	Mut_freq
MT	WT		
2.0	149.0	151.0	0.013245033112582781
3.0	134.0	137.0	0.021897810218978103
1.0	344.0	345.0	0.002898550724637681
1.0	1166.0	1167.0	0.000856898029134533
1.0	461.0	462.0	0.0021645021645021645
5.0	2584.0	2589.0	0.0019312475859405175
3.0	118.0	121.0	0.024793388429752067
1.0	870.0	871.0	0.001148105625717566
2.0	376.0	378.0	0.005291005291005291
1.0	5369.0	5370.0	0.00018621973929236498
5.0	887.0	892.0	0.005605381165919282
3.0	1507.0	1510.0	0.001986754966887417
5.0	612.0	617.0	0.008103727714748784
2.0	746.0	748.0	0.00267379679144385
2.0	181.0	183.0	0.01092896174863388
4.0	139.0	143.0	0.027972027972027972
4.0	2043.0	2047.0	0.0019540791402051783
5.0	6799.0	6804.0	0.0007348618459729571
3.0	194.0	197.0	0.015228426395939087
14.0	303.0	317.0	0.04416403785488959
0.0	357.0	357.0	0.0
7.0	5436.0	5443.0	0.0012860554841080288
17.0	153.0	170.0	0.1
20.0	1442.0	1462.0	0.013679890560875513
21.0	262.0	283.0	0.07420494699646643
1.0	825.0	826.0	0.0012106537530266344
6.0	207.0	213.0	0.028169014084507043
10.0	229.0	239.0	0.04184100418410042
0.0	446.0	446.0	0.0
1.0	373.0	374.0	0.00267379679144385
4.0	159.0	163.0	0.024539877300613498
2.0	1171.0	1173.0	0.0017050298380221654
3.0	512.0	515.0	0.005825242718446602
0.0	427.0	427.0	0.0
11.0	3035.0	3046.0	0.0036112934996717005
5.0	182.0	187.0	0.026737967914438502
2.0	165.0	167.0	0.011976047904191617
0.0	310.0	310.0	0.0
9.0	2592.0	2601.0	0.0034602076124567475
3.0	211.0	214.0	0.014018691588785047
0.0	155.0	155.0	0.0
2.0	3980.0	3982.0	0.0005022601707684581
8.0	258.0	266.0	0.03007518796992481
24.0	247.0	271.0	0.08856088560885608
2.0	1890.0	1892.0	0.0010570824524312897
0.0	290.0	290.0	0.0
224.0	162.0	386.0	0.5803108808290155
24.0	152.0	176.0	0.13636363636363635
0.0	357.0	357.0	0.0
1.0	235.0	236.0	0.00423728813559322
17.0	3820.0	3837.0	0.004430544696377378
21.0	188.0	209.0	0.10047846889952153
2.0	2867.0	2869.0	0.0006971070059254096
5.0	116.0	121.0	0.04132231404958678
8.0	523.0	531.0	0.015065913370998116
19.0	2411.0	2430.0	0.007818930041152264
3.0	514.0	517.0	0.005802707930367505
1.0	2011.0	2012.0	0.0004970178926441351
31.0	5766.0	5797.0	0.0053475935828877
26.0	345.0	371.0	0.07008086253369272
0.0	462.0	462.0	0.0
1.0	368.0	369.0	0.0027100271002710027
9.0	314.0	323.0	0.02786377708978328
17.0	139.0	156.0	0.10897435897435898
22.0	484.0	506.0	0.043478260869565216
4.0	3674.0	3678.0	0.001087547580206634
14.0	2006.0	2020.0	0.006930693069306931
14.0	161.0	175.0	0.08
6.0	1063.0	1069.0	0.005612722170252572
3.0	527.0	530.0	0.005660377358490566
19.0	2657.0	2676.0	0.007100149476831091
43.0	8934.0	8977.0	0.0047900189372841705
1.0	424.0	425.0	0.002352941176470588
1.0	271.0	272.0	0.003676470588235294
22.0	247.0	269.0	0.08178438661710037
27.0	306.0	333.0	0.08108108108108109
2.0	906.0	908.0	0.0022026431718061676
1.0	224.0	225.0	0.0044444444444444444
2.0	281.0	283.0	0.007067137809187279
27.0	319.0	346.0	0.07803468208092486
1.0	498.0	499.0	0.002004008016032064
2.0	284.0	286.0	0.006993006993006993
7.0	390.0	397.0	0.017632241813602016
35.0	414.0	449.0	0.0779510022271715
8.0	12776.0	12784.0	0.0006257822277847309
2.0	3198.0	3200.0	0.000625
12.0	1690.0	1702.0	0.007050528789659225
23.0	217.0	240.0	0.09583333333333334
1.0	191.0	192.0	0.005208333333333333
2.0	223.0	225.0	0.008888888888888889
14.0	3054.0	3068.0	0.0045632333767926985
24.0	2798.0	2822.0	0.008504606661941885
0.0	266.0	266.0	0.0
1.0	111.0	112.0	0.008928571428571428
13.0	2559.0	2572.0	0.00505443234836703
11.0	1106.0	1117.0	0.009847806624888093
0.0	174.0	174.0	0.0
0.0	229.0	229.0	0.0
5.0	230.0	235.0	0.02127659574468085
4775.0	244.0	5019.0	0.9513847379956166
0.0	148.0	148.0	0.0
1.0	164.0	165.0	0.006060606060606061
6.0	145.0	151.0	0.039735099337748346
18.0	147.0	165.0	0.10909090909090909
1.0	155.0	156.0	0.00641025641025641
0.0	431.0	431.0	0.0
1.0	105.0	106.0	0.009433962264150943
5.0	7019.0	7024.0	0.0007118451025056948
0.0	1336.0	1336.0	0.0
0.0	484.0	484.0	0.0
4.0	382.0	386.0	0.010362694300518135
1.0	318.0	319.0	0.003134796238244514
1.0	1035.0	1036.0	0.0009652509652509653
1.0	499.0	500.0	0.002
7.0	792.0	799.0	0.008760951188986232
2.0	5067.0	5069.0	0.0003945551390806865
7.0	10728.0	10735.0	0.0006520726595249185
0.0	2670.0	2670.0	0.0
2.0	192.0	194.0	0.010309278350515464
11.0	225.0	236.0	0.046610169491525424
3.0	655.0	658.0	0.004559270516717325
8.0	6490.0	6498.0	0.0012311480455524776
10.0	281.0	291.0	0.03436426116838488
7.0	192.0	199.0	0.035175879396984924
3.0	855.0	858.0	0.0034965034965034965
0.0	848.0	848.0	0.0
21.0	8419.0	8440.0	0.0024881516587677726
2.0	446.0	448.0	0.004464285714285714
1.0	414.0	415.0	0.0024096385542168677
2.0	5566.0	5568.0	0.00035919540229885057
8.0	131.0	139.0	0.05755395683453238
2.0	342.0	344.0	0.005813953488372093
3.0	3001.0	3004.0	0.0009986684420772304
0.0	291.0	291.0	0.0
1.0	117.0	118.0	0.00847457627118644
3.0	4341.0	4344.0	0.0006906077348066298
4.0	1749.0	1753.0	0.0022818026240730175
1.0	596.0	597.0	0.0016750418760469012
5.0	1640.0	1645.0	0.00303951367781155
2.0	5585.0	5587.0	0.00035797386790764276
7.0	530.0	537.0	0.01303538175046555
4.0	5342.0	5346.0	0.0007482229704451926
7.0	391.0	398.0	0.017587939698492462
18.0	165.0	183.0	0.09836065573770492
1.0	166.0	167.0	0.005988023952095809
5.0	5930.0	5935.0	0.0008424599831508003
4.0	608.0	612.0	0.006535947712418301
0.0	279.0	279.0	0.0
0.0	898.0	898.0	0.0
0.0	433.0	433.0	0.0
2.0	124.0	126.0	0.015873015873015872
49.0	249.0	298.0	0.1644295302013423
0.0	215.0	215.0	0.0
0.0	245.0	245.0	0.0
3.0	1346.0	1349.0	0.002223869532987398
4.0	201.0	205.0	0.01951219512195122
0.0	240.0	240.0	0.0
1.0	1210.0	1211.0	0.0008257638315441783
10.0	94.0	104.0	0.09615384615384616
0.0	122.0	122.0	0.0
0.0	185.0	185.0	0.0
0.0	3886.0	3886.0	0.0
6.0	370.0	376.0	0.015957446808510637
1.0	178.0	179.0	0.00558659217877095
3.0	4302.0	4305.0	0.0006968641114982578
3.0	272.0	275.0	0.01090909090909091
0.0	127.0	127.0	0.0
1.0	4502.0	4503.0	0.00022207417277370642
0.0	236.0	236.0	0.0
1.0	433.0	434.0	0.002304147465437788
7.0	1448.0	1455.0	0.004810996563573883
1.0	127.0	128.0	0.0078125
0.0	348.0	348.0	0.0
1.0	4637.0	4638.0	0.00021561017680034498
6.0	486.0	492.0	0.012195121951219513
1.0	148.0	149.0	0.006711409395973154
0.0	471.0	471.0	0.0
0.0	571.0	571.0	0.0
5.0	271.0	276.0	0.018115942028985508
6.0	321.0	327.0	0.01834862385321101
0.0	218.0	218.0	0.0
0.0	343.0	343.0	0.0
15.0	171.0	186.0	0.08064516129032258
1.0	1872.0	1873.0	0.0005339028296849973
0.0	122.0	122.0	0.0
8.0	271.0	279.0	0.02867383512544803
3.0	171.0	174.0	0.017241379310344827
1.0	636.0	637.0	0.0015698587127158557
0.0	244.0	244.0	0.0
2.0	368.0	370.0	0.005405405405405406
7.0	2024.0	2031.0	0.0034465780403741997
3.0	1250.0	1253.0	0.0023942537909018356
1.0	311.0	312.0	0.003205128205128205
4.0	441.0	445.0	0.008988764044943821
10.0	2687.0	2697.0	0.0037078235076010383
0.0	155.0	155.0	0.0
15.0	87.0	102.0	0.14705882352941177
0.0	262.0	262.0	0.0
