Join_cols	RN_RUNX1_c	RN_RUNX1_g	RN_SRSF2	RN_TET2a
AS-196_F12_nBCs	448	279	1293	1789
AS-196_F13_nBCs	402	441	336	206
AS-196_F16_nBCs	2121	927	841	1656
AS-196_F17_nBCs	10625	524	3224	398
AS-196_F18_nBCs	820	396	369	204
AS-196_F19_nBCs	257	2281	209	2594
AS-196_F20_nBCs	455	3257	2604	294
AS-196_F22_nBCs	294	349	291	100
AS-196_F2_nBCs	332	869	945	184
AS-196_F3_nBCs	218	1779	251	126
AS-196_F4_nBCs	494	2872	1208	148
AS-196_F6_nBCs	329	394	602	377
AS-196_F8_nBCs	300	680	2134	2020
AS-196_F9_nBCs	628	327	267	159
AS-196_G12_nBCs	11155	300	1026	243
AS-196_G13_nBCs	577	2884	2422	2428
AS-196_G16_nBCs	4010	343	860	189
AS-196_G17_nBCs	1131	4500	797	191
AS-196_G18_nBCs	1374	435	1127	215
AS-196_G19_nBCs	3881	317	1098	1248
AS-196_G20_nBCs	465	492	254	210
AS-196_G2_nBCs	491	227	170	170
AS-196_G3_nBCs	331	937	527	136
AS-196_G4_nBCs	2890	475	223	1216
AS-196_G6_nBCs	584	1123	254	864
AS-196_G8_nBCs	559	301	246	1361
AS-196_G9_nBCs	9014	375	2207	323
AS-196_H12_nBCs	578	440	6781	381
AS-196_H13_nBCs	286	1401	390	4953
AS-196_H16_nBCs	301	2487	356	364
AS-196_H17_nBCs	635	759	6752	374
AS-196_H18_nBCs	1500	3130	1748	4493
AS-196_H19_nBCs	181	3789	407	366
AS-196_H20_nBCs	818	4052	592	447
AS-196_H22_nBCs	307	4678	1060	139
AS-196_H2_nBCs	2039	1162	1234	1288
AS-196_H3_nBCs	124	1741	693	1224
AS-196_H4_nBCs	372	916	859	1891
AS-196_H6_nBCs	646	2520	1070	4033
AS-196_H8_nBCs	329	495	2401	3053
AS-196_H9_nBCs	994	488	786	991
AS-196_I12_nBCs	2628	314	751	238
AS-196_I13_nBCs	655	457	2080	208
AS-196_I16_nBCs	645	491	2629	2164
AS-196_I17_nBCs	15977	471	791	290
AS-196_I18_nBCs	1890	485	5725	241
AS-196_I19_nBCs	396	2180	427	2618
AS-196_I20_nBCs	10308	4012	567	255
AS-196_I22_nBCs	497	3127	267	105
AS-196_I2_nBCs	2040	324	968	922
AS-196_I3_nBCs	2383	248	320	121
AS-196_I4_nBCs	880	1564	2974	159
AS-196_I6_nBCs	834	3991	360	217
AS-196_I8_nBCs	752	367	1418	2537
AS-196_I9_nBCs	5396	2383	3236	176
AS-196_J12_nBCs	1402	259	347	180
AS-196_J13_nBCs	1030	1980	355	1793
AS-196_J16_nBCs	954	612	1153	169
AS-196_J17_nBCs	8472	3656	316	164
AS-196_J18_nBCs	23173	392	634	166
AS-196_J19_nBCs	596	2430	132	1547
AS-196_J20_nBCs	1405	3656	864	196
