	Plate_Well	celltype
341	not_seq_O7	GMP
342	not_seq_O6	GMP
343	not_seq_O5	GMP
344	not_seq_O4	GMP
345	not_seq_O3	GMP
346	not_seq_O2	LMPP
347	not_seq_O1	GMP
348	not_seq_P1	GMP
349	not_seq_P2	GMP
350	not_seq_P3	GMP
351	not_seq_P4	GMP
352	not_seq_P5	GMP
353	not_seq_P6	HSC
354	not_seq_P7	GMP
355	not_seq_P8	GMP
356	not_seq_P9	GMP
357	not_seq_P10	GMP
358	not_seq_P11	GMP2
359	not_seq_P12	GMP2
360	not_seq_P13	GMP
361	not_seq_P14	MEP
362	not_seq_P15	GMP
363	not_seq_P16	MPP
364	not_seq_O16	CMP
365	not_seq_O17	MPP
366	not_seq_O18	GMP
367	not_seq_O19	MEP
368	not_seq_O20	GMP
369	not_seq_O21	MEP
370	not_seq_O22	MPP
371	not_seq_O23	MEP
372	not_seq_O24	GMP
373	not_seq_P24	MEP
374	not_seq_P23	MEP
375	not_seq_P22	GMP
376	not_seq_P21	GMP
377	not_seq_P20	MEP
378	not_seq_P19	GMP
379	not_seq_P18	LMPP
380	not_seq_P17	GMP
381	AS-197_A3	GMP
382	AS-197_A4	GMP
383	AS-197_A5	GMP
384	AS-197_A6	CMP
385	AS-197_A7	LMPP
386	AS-197_A8	CMP
387	AS-197_A9	GMP
388	AS-197_A10	GMP
389	AS-197_A11	LMPP
390	AS-197_A12	GMP
391	AS-197_A13	MEP
392	AS-197_A14	GMP
393	AS-197_A15	CMP
394	AS-197_A16	CMP
395	AS-197_A17	CMP
396	AS-197_A18	GMP
397	AS-197_A19	CMP
398	AS-197_A20	GMP2
399	AS-197_A21	GMP2
400	AS-197_A22	CMP
401	AS-197_A23	MEP
402	AS-197_A24	GMP
403	AS-197_B24	MEP
404	AS-197_B23	GMP
405	AS-197_B22	CMP
406	AS-197_B21	GMP
407	AS-197_B20	GMP
408	AS-197_B19	GMP
409	AS-197_B18	GMP
410	AS-197_B17	MEP
411	AS-197_B16	LMPP
412	AS-197_B15	GMP
413	AS-197_B14	GMP
414	AS-197_B13	MEP
415	AS-197_B12	GMP
416	AS-197_B11	MEP
417	AS-197_B10	GMP
418	AS-197_B9	GMP
419	AS-197_B8	GMP
420	AS-197_B7	GMP
421	AS-197_B6	MEP
422	AS-197_B5	MPP
423	AS-197_B4	MPP
424	AS-197_B3	CMP
425	AS-197_C2	GMP
426	AS-197_C1	GMP
427	AS-197_B1	GMP
428	AS-197_D1	MEP
429	AS-197_D2	MEP
430	AS-197_D3	MPP
431	AS-197_D4	CMP
432	AS-197_C4	GMP2
433	AS-197_C5	MPP
434	AS-197_C6	GMP
435	AS-197_C7	GMP2
436	AS-197_C8	GMP
437	AS-197_C9	GMP
438	AS-197_C10	CMP
439	AS-197_C11	GMP2
440	AS-197_C12	MPP
441	AS-197_C13	CMP
442	AS-197_C14	GMP2
443	AS-197_C15	GMP
444	AS-197_C16	MEP
445	AS-197_C17	MPP
446	AS-197_C18	GMP
447	AS-197_C19	LSC
448	AS-197_C20	MEP
449	AS-197_C21	GMP2
450	AS-197_C22	LSC
451	AS-197_C23	GMP2
452	AS-197_C24	GMP
453	AS-197_D24	MEP
454	AS-197_D23	CMP
455	AS-197_D22	GMP
456	AS-197_D21	GMP
457	AS-197_D20	CMP
458	AS-197_D19	MEP
459	AS-197_D18	MEP
460	AS-197_D17	LSC
461	AS-197_D16	GMP
462	AS-197_D15	LMPP
463	AS-197_D14	GMP2
464	AS-197_D13	MEP
465	AS-197_D12	MPP
466	AS-197_D11	MEP
467	AS-197_D10	MEP
468	AS-197_D9	GMP
469	AS-197_D8	MEP
470	AS-197_D7	GMP
471	AS-197_D6	CMP
472	AS-197_D5	GMP
473	AS-197_E5	LMPP
474	AS-197_E4	MPP
475	AS-197_E3	LMPP
476	AS-197_E2	GMP2
477	AS-197_E1	GMP
478	AS-197_F1	CMP
479	AS-197_F2	GMP
480	AS-197_F3	GMP
481	AS-197_F4	GMP
482	AS-197_F5	GMP
483	AS-197_F6	CMP
484	AS-197_E6	GMP
485	AS-197_E7	GMP
486	AS-197_E8	MEP
487	AS-197_E9	MEP
488	AS-197_E10	MEP
489	AS-197_E11	GMP2
490	AS-197_E12	MEP
491	AS-197_E13	GMP
492	AS-197_E14	GMP
493	AS-197_E15	GMP
494	AS-197_E16	GMP
495	AS-197_E17	GMP2
496	AS-197_E18	LMPP
497	AS-197_E19	GMP
498	AS-197_E20	HSC
499	AS-197_E21	GMP
500	AS-197_E22	CMP
501	AS-197_E23	GMP
502	AS-197_E24	CMP
503	AS-197_F24	GMP
504	AS-197_F23	unassigned
505	AS-197_F22	MEP
506	AS-197_F21	LSC
507	AS-197_F20	GMP
508	AS-197_F19	GMP
509	AS-197_F18	GMP
510	AS-197_F17	GMP2
