	Plate_Well	celltype
251	not_seq_NE1_L4	NE
252	not_seq_NE1_L5	NE
253	not_seq_NE1_L6	NE
254	not_seq_NE1_L7	NE
255	not_seq_NE1_L8	NE
256	not_seq_NE1_L9	NE
257	not_seq_NE1_L10	NE
258	not_seq_NE1_L11	NE
259	not_seq_NE1_L12	NE
260	not_seq_NE1_K12	NE
261	not_seq_NE1_K13	NE
262	not_seq_NE1_K14	NE
263	not_seq_NE1_K15	NE
264	not_seq_NE1_K16	NE
265	not_seq_NE1_K17	NE
266	not_seq_NE1_K18	NE
267	not_seq_NE1_K19	NE
268	not_seq_NE1_K20	NE
269	not_seq_NE1_K21	NE
270	not_seq_NE1_K22	NE
271	not_seq_NE1_K23	NE
272	not_seq_NE1_K24	NE
273	not_seq_NE1_L24	NE
274	not_seq_NE1_L23	NE
275	not_seq_NE1_L22	NE
276	not_seq_NE1_L21	NE
277	not_seq_NE1_L20	NE
278	not_seq_NE1_L19	NE
279	not_seq_NE1_L18	NE
280	not_seq_NE1_L17	NE
281	not_seq_NE1_L16	NE
282	not_seq_NE1_L15	NE
283	not_seq_NE1_L14	NE
284	not_seq_NE1_L13	NE
285	not_seq_NE1_M13	NE
286	not_seq_NE1_M12	NE
287	not_seq_NE1_M11	NE
288	not_seq_NE1_M10	NE
289	not_seq_NE1_M9	NE
290	not_seq_NE1_M8	NE
291	not_seq_NE1_M7	NE
292	not_seq_NE1_M6	NE
293	not_seq_NE1_M5	NE
294	not_seq_NE1_M4	NE
295	not_seq_NE1_M3	NE
296	not_seq_NE1_M2	NE
297	not_seq_NE1_M1	NE
298	not_seq_NE1_N1	NE
299	not_seq_NE1_N2	NE
300	not_seq_NE1_N3	NE
301	not_seq_NE1_N4	NE
302	not_seq_NE1_N5	NE
303	not_seq_NE1_N6	NE
304	not_seq_NE1_N7	NE
305	not_seq_NE1_N8	NE
306	not_seq_NE1_N9	NE
307	not_seq_NE1_N10	NE
308	not_seq_NE1_N11	NE
309	not_seq_NE1_N12	NE
310	not_seq_NE1_N13	NE
311	not_seq_NE1_N14	NE
312	not_seq_NE1_M14	NE
313	not_seq_NE1_M15	NE
314	not_seq_NE1_M16	NE
315	not_seq_NE1_M17	NE
316	not_seq_NE1_M18	NE
317	not_seq_NE1_M19	NE
318	not_seq_NE1_M20	NE
319	not_seq_NE1_M21	NE
320	not_seq_NE1_M22	NE
321	not_seq_NE1_M23	NE
322	not_seq_NE1_M24	NE
323	not_seq_NE1_N24	NE
324	not_seq_NE1_N23	NE
325	not_seq_NE1_N22	NE
326	not_seq_NE1_N21	NE
327	not_seq_NE1_N20	NE
328	not_seq_NE1_N19	NE
329	not_seq_NE1_N18	NE
330	not_seq_NE1_N17	NE
331	not_seq_NE1_N16	NE
332	not_seq_NE1_N15	NE
333	not_seq_NE1_O15	NE
334	not_seq_NE1_O14	NE
335	not_seq_NE1_O13	NE
336	not_seq_NE1_O12	NE
337	not_seq_NE1_O11	NE
338	not_seq_NE1_O10	NE
339	not_seq_NE1_O9	NE
340	not_seq_NE1_O8	NE
341	not_seq_NE1_O7	NE
342	not_seq_NE1_O6	NE
343	not_seq_NE1_O5	NE
344	not_seq_NE1_O4	NE
345	not_seq_NE1_O3	NE
346	not_seq_NE1_O2	NE
347	not_seq_NE1_O1	NE
348	not_seq_NE1_P1	NE
349	not_seq_NE1_P2	NE
350	not_seq_NE1_P3	NE
351	not_seq_NE1_P4	NE
352	not_seq_NE1_P5	NE
353	not_seq_NE1_P6	NE
354	not_seq_NE1_P7	NE
355	not_seq_NE1_P8	NE
356	not_seq_NE1_P9	NE
357	not_seq_NE1_P10	NE
358	not_seq_NE1_P11	NE
359	not_seq_NE1_P12	NE
360	not_seq_NE1_P13	NE
361	not_seq_NE1_P14	NE
362	not_seq_NE1_P15	NE
363	not_seq_NE1_P16	NE
364	not_seq_NE1_O16	NE
365	not_seq_NE1_O17	NE
